ID NurPenBatch SowID Nur2ADG_Adj Nur2ADG
1071 3B_D9 3B_2183 0.131447310344828 0.00137931034482756
1072 3B_D9 3B_2024 0.421504965517241 0.282068965517241
1073 3B_B3 3B_2024 0.352539448275862 0.213103448275862
1074 3B_D7 3B_2028 0.31391875862069 0.17448275862069
1075 3B_D4 3B_2024 0.304622206896552 0.0275862068965517
1076 3B_D4 3B_2028 0.327711862068966 0.188275862068966
1077 3B_B8 3B_2237 0.538200275862069 0.403448275862069
1078 NA 3B_1754 NA NA
1079 3B_D9 3B_2028 0.300125655172414 0.160689655172414
1080 3B_D6 3B_2498 0.342884275862069 0.203448275862069
1081 3B_D6 3B_2527 0.340125655172414 0.200689655172414
1082 3B_B8 3B_2354 0.380484275862069 0.103448275862069
1083 3B_B8 3B_1754 0.512539448275862 0.373103448275862
1084 3B_B10 3B_1753 0.523932551724138 0.246896551724138
1085 3B_D7 3B_1571 0.394608413793103 0.255172413793103
1086 3B_B5 3B_2183 0.413516275862069 0.283448275862069
1087 3B_B3 3B_2237 0.165786482758621 0.0310344827586206
1088 3B_D9 3B_1933 0.473229103448276 0.333793103448276
1089 3B_B3 3B_2354 0.317367034482759 0.177931034482759
1090 3B_D6 3B_1571 0.212898068965517 -0.0641379310344827
1091 3B_D4 3B_2024 0.304622206896552 0.0275862068965517
1152 3D_D2 3D_497 0.239232827586207 0.110344827586207
1153 3D_B8 3D_497 0.333715586206897 0.204827586206897
1154 3D_B3 3D_756 0.627177655172414 0.360689655172414
1155 3D_B8 3D_668 0.153025931034483 0.0241379310344827
1156 3D_B5 3D_756 0.471646620689655 0.342758620689655
1157 3D_D2 3D_842 0.559376413793103 0.435172413793103
1158 3D_B10 3D_675 0.282350068965517 0.0158620689655173
1159 3D_B3 3D_867 0.466819034482759 0.337931034482759
1160 3D_B5 3D_668 0.368888 0.24
1161 3D_B8 3D_260 0.310769517241379 0.0489655172413793
1162 3D_D2 3D_668 0.500612137931034 0.371724137931034
1163 3D_B5 3D_367 0.197163862068966 0.0682758620689655
1164 3D_B5 3D_805 0.297451034482759 0.177931034482759
1165 3D_B10 3D_805 0.496761379310345 0.377241379310345
1166 3D_B5 3D_675 0.404750068965517 0.275862068965517
1167 3D_B5 3D_756 0.487867310344828 0.221379310344828
1168 3D_B5 3D_867 0.231315586206897 -0.0351724137931034
1169 3D_B3 3D_867 0.404419034482759 0.137931034482759
1170 3D_D9 3D_842 0.375238482758621 0.251034482758621
1171 3D_D11 3D_367 0.186488 -0.08
1172 3D_B10 3D_634 0.379117517241379 0.268965517241379
1173 3D_B3 3D_842 0.373169517241379 0.248965517241379
1174 3D_D4 3D_260 0.361804 0.1
1175 3D_D4 3D_566 0.469390206896552 0.207586206896552
1176 3D_B8 3D_668 0.204060413793103 0.0751724137931034
1177 3D_B8 3D_472 0.348010896551724 0.0862068965517241
1178 3D_D2 3D_472 0.314907448275862 0.053103448275862
1179 3D_D4 3D_247 0.25628675862069 -0.00551724137931035
1180 3D_D4 3D_566 0.282824689655172 0.158620689655172
1181 3D_D2 3D_566 0.304204 0.18
1182 3D_D11 3D_367 0.20337075862069 0.0744827586206897
1183 3D_D9 3D_634 0.329462344827586 0.219310344827586
1184 3D_D4 3D_844 0.593025931034483 0.464137931034483
1185 3D_B3 3D_247 0.490769517241379 0.228965517241379
1186 3D_B10 3D_675 0.308888 0.18
1187 3D_D9 3D_866 0.431646620689655 0.302758620689655
1188 3D_B8 3D_665 0.247508689655172 0.118620689655172
1189 3D_B10 3D_685 0.311646620689655 0.182758620689655
1190 3D_D2 3D_497 0.362681103448276 0.233793103448276
1191 3D_D9 3D_756 0.397522482758621 0.131034482758621
1192 3D_D9 3D_665 0.515784551724138 0.386896551724138
1193 3D_D4 3D_685 0.34337075862069 0.21448275862069
1194 3D_B3 3D_634 0.340496827586207 0.230344827586207
1195 3D_B3 3D_367 0.351646620689655 0.222758620689655
1196 3D_D9 3D_497 0.364419034482759 0.0979310344827586
1197 3D_D2 3D_566 0.423872965517241 0.162068965517241
1198 3D_B10 3D_805 0.286416551724138 0.166896551724138
1199 3D_B5 3D_472 0.36732124137931 0.10551724137931
1200 3D_D11 3D_472 0.414907448275862 0.153103448275862
1201 3D_D9 3D_247 0.219735034482759 -0.0420689655172414
1202 3D_D11 3D_805 0.428485517241379 0.308965517241379
1203 3D_D11 3D_247 0.342493655172414 0.0806896551724138
1204 3D_D9 3D_866 0.345798344827586 0.0793103448275862
1205 3D_D2 3D_867 0.429246620689655 0.162758620689655
1206 3D_D4 3D_866 0.392694896551724 0.126206896551724
1207 3D_D11 3D_866 0.368556965517241 0.102068965517241
1208 3D_D4 3D_685 0.292694896551724 0.0262068965517241
1209 3D_B10 3D_844 0.336474206896552 0.207586206896552
1210 3D_D11 3D_685 0.350267310344828 0.221379310344828
1211 3D_B3 3D_260 0.320755724137931 0.196551724137931
1212 3D_B8 3D_675 0.355094896551724 0.226206896551724
1608 4D_D11 4D_247 0.241500896551724 0.326206896551724
1609 4D_D3 4D_472 0.155437586206897 0.244827586206897
1610 4D_D3 4D_670 0.644618137931035 0.591724137931035
1611 4D_D7 4D_968 0.366328482758621 0.451034482758621
1612 4D_D9 4D_960 0.193914689655172 0.278620689655172
1613 4D_D10 4D_467 0.422190551724138 0.506896551724138
1614 4D_D6 4D_685 0.407161724137931 0.496551724137931
1615 4D_D8 4D_960 0.214962965517241 0.162068965517241
1616 4D_D3 4D_685 0.396816896551724 0.486206896551724
1617 4D_D5 4D_628 0.0523479310344827 0.00413793103448273
1618 4D_D3 4D_805 0.241644482758621 0.331034482758621
1619 4D_D6 4D_956 0.383713448275862 0.473103448275862
1620 4D_D4 4D_683 0.489589310344828 0.441379310344828
1621 4D_D11 4D_628 0.275437586206897 0.364827586206897
1622 4D_D9 4D_970 0.326472068965517 0.415862068965517
1623 4D_D2 4D_970 0.511989310344828 0.601379310344828
1624 4D_D9 4D_668 0.421500896551724 0.506206896551724
1625 4D_D10 4D_959 0.448397448275862 0.533103448275862
1626 4D_D11 4D_956 0.394747931034483 0.484137931034483
1627 4D_D11 4D_959 0.161500896551724 0.246206896551724
